Cities,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
New York,8013775,8068195,8131574,8190355,8272963,8348032,8398739,8437387,8468181,8475976,8438271,8398748
Los Angeles,3751872,3763566,3781938,3795370,3821136,3852532,3883916,3913260,3943215,3969262,3982002,3990456
Chicago,2703991,2697359,2697006,2697529,2708209,2719735,2726772,2728524,2726215,2718946,2713067,2705994
Houston,2005113,2019880,2045700,2098446,2124143,2160086,2198280,2240982,2286630,2309752,2317445,2325502
Phoenix,1450901,1456729,1452679,1449295,1470052,1499839,1527336,1556552,1584927,1613581,1634984,1660272
Philadelphia,1493309,1499731,1514694,1528293,1540322,1551797,1558371,1565604,1571258,1576390,1580221,1584138
San Antonio,1270168,1291211,1310242,1332883,1357536,1383608,1408787,1435839,1464531,1488512,1511409,1532233
San Diego,1266198,1282692,1295591,1305970,1319697,1337149,1355951,1376725,1388674,1403865,1414427,1425976
Dallas,1106548,1110354,1119067,1200372,1218320,1242344,1259239,1279679,1301794,1324477,1343087,1345047
San Jose,911744,926098,937929,954492,969948,983322,1001253,1014418,1026099,1030359,1032136,1030119
